[[3, 0, 0, 0], [4, 2, 0, 2], [4, 2, 0, 2], [3, 0, 1, 3]]
         431909 function calls (431762 primitive calls) in 0.230 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 z3printer.py:13(_z3_assert)
       56    0.000    0.000    0.000    0.000 z3printer.py:142(u)
       20    0.000    0.000    0.000    0.000 z3printer.py:189(_support_pp)
        1    0.000    0.000    0.000    0.000 z3printer.py:290(is_compose)
       11    0.000    0.000    0.000    0.000 z3printer.py:294(is_indent)
       16    0.000    0.000    0.000    0.000 z3printer.py:296(is_string)
       89    0.000    0.000    0.000    0.000 z3printer.py:308(flat)
       33    0.000    0.000    0.000    0.000 z3printer.py:312(__init__)
       33    0.000    0.000    0.000    0.000 z3printer.py:313(<listcomp>)
       10    0.000    0.000    0.000    0.000 z3printer.py:319(is_compose)
     10/1    0.000    0.000    0.000    0.000 z3printer.py:323(space_upto_nl)
     18/5    0.000    0.000    0.000    0.000 z3printer.py:331(flat)
     18/5    0.000    0.000    0.000    0.000 z3printer.py:332(<listcomp>)
        1    0.000    0.000    0.000    0.000 z3printer.py:335(is_choice)
        4    0.000    0.000    0.000    0.000 z3printer.py:341(flat)
       14    0.000    0.000    0.000    0.000 z3printer.py:345(__init__)
      5/1    0.000    0.000    0.000    0.000 z3printer.py:353(space_upto_nl)
      9/5    0.000    0.000    0.000    0.000 z3printer.py:355(flat)
        5    0.000    0.000    0.000    0.000 z3printer.py:357(is_indent)
        5    0.000    0.000    0.000    0.000 z3printer.py:361(__init__)
       15    0.000    0.000    0.000    0.000 z3printer.py:369(flat)
       56    0.000    0.000    0.000    0.000 z3printer.py:373(__init__)
       56    0.000    0.000    0.000    0.000 z3printer.py:376(is_string)
       56    0.000    0.000    0.000    0.000 z3printer.py:380(space_upto_nl)
        1    0.000    0.000    0.000    0.000 z3printer.py:383(fits)
       56    0.000    0.000    0.000    0.000 z3printer.py:387(to_format)
       28    0.000    0.000    0.000    0.000 z3printer.py:396(compose)
       14    0.000    0.000    0.000    0.000 z3printer.py:401(indent)
        5    0.000    0.000    0.000    0.000 z3printer.py:404(group)
        5    0.000    0.000    0.000    0.000 z3printer.py:407(line_break)
       56    0.000    0.000    0.000    0.000 z3printer.py:410(_len)
        5    0.000    0.000    0.000    0.000 z3printer.py:416(seq)
        5    0.000    0.000    0.000    0.000 z3printer.py:443(seq3)
       56    0.000    0.000    0.000    0.000 z3printer.py:460(pp_string)
     10/1    0.000    0.000    0.000    0.000 z3printer.py:470(pp_compose)
        1    0.000    0.000    0.000    0.000 z3printer.py:474(pp_choice)
     72/1    0.000    0.000    0.000    0.000 z3printer.py:493(pp)
        1    0.000    0.000    0.000    0.000 z3printer.py:509(__call__)
       16    0.000    0.000    0.000    0.000 z3printer.py:586(pp_int)
       16    0.000    0.000    0.001    0.000 z3printer.py:917(pp_app)
